frame_id,x,y
1,640.0,360.0
2,642.0,358.0
3,644.0,356.0
4,645.0,354.0
5,646.0,352.0
6,645.0,349.0
7,644.0,346.0
8,643.0,345.0
9,642.0,344.0
10,641.0,341.0
11,640.0,338.0
12,638.0,336.0
13,636.0,334.0
14,638.0,332.0
15,640.0,330.0
16,639.0,330.0
17,638.0,330.0
18,636.0,329.0
19,634.0,328.0
20,634.0,326.0
21,634.0,324.0
22,633.0,321.0
23,632.0,318.0
24,631.0,318.0
25,630.0,318.0
26,630.0,315.0
27,630.0,312.0
28,628.0,311.0
29,626.0,310.0
30,625.0,309.0
31,624.0,308.0
32,623.0,305.0
33,622.0,302.0
34,622.0,298.0
35,622.0,294.0
36,623.0,290.0
37,624.0,286.0
38,622.0,283.0
39,620.0,280.0
40,621.0,276.0
41,622.0,272.0
42,624.0,268.0
43,626.0,264.0
44,631.0,260.0
45,636.0,256.0
46,639.0,251.0
47,642.0,246.0
48,646.0,243.0
49,650.0,240.0
50,651.0,236.0
51,652.0,232.0
52,654.0,223.0
53,656.0,214.0
54,654.0,196.0
55,652.0,178.0
56,648.0,156.0
57,644.0,134.0
58,640.0,110.0
59,636.0,86.0
60,630.0,62.0
61,624.0,38.0
62,623.0,25.0
63,622.0,12.0
64,625.0,8.0
65,628.0,4.0
66,630.0,2.0
67,632.0,0.0
68,635.0,0.0
69,638.0,0.0
70,643.0,0.0
71,648.0,0.0
72,651.0,3.0
73,654.0,6.0
74,657.0,10.0
75,660.0,14.0
76,663.0,19.0
77,666.0,24.0
78,668.0,31.0
79,670.0,38.0
80,671.0,48.0
81,672.0,58.0
82,675.0,68.0
83,678.0,78.0
84,681.0,87.0
85,684.0,96.0
86,686.0,107.0
87,688.0,118.0
88,693.0,126.0
89,698.0,134.0
90,704.0,140.0
91,710.0,146.0
92,717.0,151.0
93,724.0,156.0
94,729.0,161.0
95,734.0,166.0
96,740.0,171.0
97,746.0,176.0
98,753.0,181.0
99,760.0,186.0
100,764.0,193.0
101,768.0,200.0
102,771.0,210.0
103,774.0,220.0
104,773.0,231.0
105,772.0,242.0
106,761.0,255.0
107,750.0,268.0
108,734.0,281.0
109,718.0,294.0
110,701.0,306.0
111,684.0,318.0
112,668.0,329.0
113,652.0,340.0
114,651.0,351.0
115,650.0,362.0
